COUNTRY,YEAR,MONTH,TOTAL_PRODUCTION,DOMESTIC_CONSUMPTION,EXPORTABLE_PRODUCTION,GROSS_OPENING_STOCKS
Zambia,1999/00,July,58.725,0.6,58.125,0
Benin,1999/00,October,0,0,0,0
Cameroon,1999/00,October,1369.824,100,1269.824,120
Central African Republic,1999/00,October,240.682,21,219.682,5
Colombia,1999/00,October,9678.7709,1400,8278.7709,2998
"Congo, Dem. Rep. of",1999/00,October,477.154,200,277.154,93.636
Costa Rica,1999/00,October,2485.33,375,2110.33,141
Côte d'Ivoire,1999/00,October,6320.4388,50,6270.4388,115
El Salvador,1999/00,October,2598.1449,153.3,2444.8449,278.53
Equatorial Guinea,1999/00,October,179,0,179,0
Ethiopia,1999/00,October,3784.051,1912,1872.051,2533
Gabon,1999/00,October,2.057,715,1.342,1.301
Ghana,1999/00,October,88.9011,1,87.9011,10.218
Guatemala,1999/00,October,5120.1288,300,4820.1288,161
Guinea,1999/00,October,363.707,50,313.707,22
Guyana,1999/00,October,5.0876,4.35,0.7376,0
Honduras,1999/00,October,2985.005,168,2817.005,109.095
India,1999/00,October,4866.5892,917,3949.5892,329
Jamaica,1999/00,October,37.9705,11,26.9705,23.103
Kenya,1999/00,October,1501.891,50,1451.891,155.784
"Lao, People's Dem. Rep. of",1999/00,October,238.772,0,238.772,0
Liberia,1999/00,October,12.163,5,7.163,0
Mexico,1999/00,October,6218.6765,1150,5068.6765,10
Nepal,1999/00,October,,,0,0
Nicaragua,1999/00,October,1554.0548,130.3,1423.7548,8.4
Nigeria,1999/00,October,45.067,40,5.067,0
Panama,1999/00,October,166.381,67,99.381,20
Sierra Leone,1999/00,October,59.02,5,54.02,0
Sri Lanka,1999/00,October,31.716,30,1.716,8
Thailand,1999/00,October,1272.8378,433,839.8378,238.05
Togo,1999/00,October,262.808,2,260.808,51.862
Trinidad & Tobago,1999/00,October,16.89,14,2.89,0
Uganda,1999/00,October,2862.447,119,2743.447,500.22
Venezuela,1999/00,October,1366.835,1135.94,230.895,70
Vietnam,1999/00,October,11630.9138,350,11280.9138,283
Yemen,1999/00,October,60.579,0,60.579,0
Angola,2000/01,April,49.785,20,29.785,5
Bolivia,2000/01,April,172.604,60,112.604,6
Brazil,2000/01,April,31310.353,13200,18110.353,43762
Burundi,2000/01,April,487.46,2,485.46,12.477
Ecuador,2000/01,April,853.817,200,653.817,85
Indonesia,2000/01,April,6987.2397,1676,5311.2397,792.868
Madagascar,2000/01,April,362.1618,89.1,273.0618,9.433
Malawi,2000/01,April,63.138,1,62.138,9
Papua New Guinea,2000/01,April,1040.7392,2,1038.7392,104.943
Paraguay,2000/01,April,42.402,20,22.402,33
Peru,2000/01,April,2675.593,200,2475.593,157.149
Rwanda,2000/01,April,273.363,2,271.363,0.71
Timor-Leste,2000/01,April,7.1279,0,7.1279,0
Zimbabwe,2000/01,April,108.523,4,104.523,10
"Congo, Rep. of",2000/01,July,3,3,0,0
Cuba,2000/01,July,312.4345,213,99.4345,126.2
Dominican Republic,2000/01,July,467.038,325,142.038,337.619
Haiti,2000/01,July,419.85,340,79.85,16
Philippines,2000/01,July,340.9218,820,0,930
Tanzania,2000/01,July,808.8714,15,793.8714,82.219
Zambia,2000/01,July,93.374,0.6,92.774,0
Benin,2000/01,October,0,0,0,0
Cameroon,2000/01,October,1113.143,75,1038.143,117.5
Central African Republic,2000/01,October,113.313,3,110.313,36.942
Colombia,2000/01,October,10399.887,1400,8999.887,2241
"Congo, Dem. Rep. of",2000/01,October,362.535,200,162.535,18.113
Costa Rica,2000/01,October,2418.536,375,2043.536,267
Côte d'Ivoire,2000/01,October,4845.586,316.667,4528.919,551.649
El Salvador,2000/01,October,1704.4498,144,1560.4498,232.9
Equatorial Guinea,2000/01,October,0,0,0,0
Ethiopia,2000/01,October,3115.149,2014,1101.149,2400
Gabon,2000/01,October,0,0.3,0,2.309
Ghana,2000/01,October,76.456,1,75.456,18
Guatemala,2000/01,October,4939.753,300,4639.753,80.33
Guinea,2000/01,October,399.992,50,349.992,56
Guyana,2000/01,October,2.8718,1.883,0.9888,0
Honduras,2000/01,October,2666.658,230,2436.658,69.2
India,2000/01,October,5019.7666,1000,4019.7666,364
Jamaica,2000/01,October,36.8774,12.067,24.8104,20.525
Kenya,2000/01,October,1001.8641,50,951.8641,411.946
"Lao, People's Dem. Rep. of",2000/01,October,212.185,0,212.185,0
Liberia,2000/01,October,12.305,5,7.305,0
Mexico,2000/01,October,4814.9789,1305,3509.9789,193
Nepal,2000/01,October,,,,
Nicaragua,2000/01,October,1572.4326,174.93,1397.5026,107.823
Nigeria,2000/01,October,49.431,40,9.431,0
Panama,2000/01,October,170.226,67,103.226,41.777
Sierra Leone,2000/01,October,49.155,5,44.155,7
Sri Lanka,2000/01,October,33.28,30,3.28,7
Thailand,2000/01,October,1692.2342,500,1192.2342,116.167
Togo,2000/01,October,197.401,2,195.401,33.579
Trinidad & Tobago,2000/01,October,16.393,14,2.393,0
Uganda,2000/01,October,3400.683,142,3258.683,326.41
Venezuela,2000/01,October,1449.924,1183.99,265.934,188
Vietnam,2000/01,October,14841.309,401.625,14439.684,666.667
Yemen,2000/01,October,63.936,0,63.936,0
Angola,2001/02,April,20.69,20,0.69,15
Bolivia,2001/02,April,117.516,60,57.516,6
Brazil,2001/02,April,31365.0955,13590,17775.0955,43295
Burundi,2001/02,April,143.982,2,141.982,90.752
Ecuador,2001/02,April,792.847,200,592.847,55
Indonesia,2001/02,April,6833.356,2000,4833.356,489.934
Madagascar,2001/02,April,147.236,128,19.236,84
Malawi,2001/02,April,60.39,1,59.39,3
Papua New Guinea,2001/02,April,1062.593,2,1060.593,93.6269
Paraguay,2001/02,April,19.6,20,0,30
Peru,2001/02,April,2828.946,200,2628.946,214.162
Rwanda,2001/02,April,295.51,2,293.51,0
Timor-Leste,2001/02,April,32.8539,0,32.8539,0
Zimbabwe,2001/02,April,121.042,4,117.042,10
"Congo, Rep. of",2001/02,July,3,3,0,0
Cuba,2001/02,July,284.974,220,64.974,129.6
Dominican Republic,2001/02,July,386.958,340.198,46.76,355.285
Haiti,2001/02,July,402.64,340,62.64,13
Philippines,2001/02,July,262.682,821,0,882
Tanzania,2001/02,July,624.089,15,609.089,60
Zambia,2001/02,July,99.672,0.6,99.072,0
Benin,2001/02,October,0,0,0,0
Cameroon,2001/02,October,685.677,69,616.677,10.833
Central African Republic,2001/02,October,68.172,3,65.172,42.988
Colombia,2001/02,October,11962.441,1400,10562.441,1804
"Congo, Dem. Rep. of",2001/02,October,423.184,200,223.184,29.306
Costa Rica,2001/02,October,2246.7,375,1871.7,200
Côte d'Ivoire,2001/02,October,3596.116,316.667,3279.449,810.735
El Salvador,2001/02,October,1693.966,153.3,1540.666,125.8
Equatorial Guinea,2001/02,October,0,0,0,0
Ethiopia,2001/02,October,4044.24,2121,1923.24,2083
Gabon,2001/02,October,822,0.3,522,0
Ghana,2001/02,October,7.285,1,6.285,21
Guatemala,2001/02,October,3668.96,300,3368.96,306
Guinea,2001/02,October,235.979,50,185.979,56
Guyana,2001/02,October,5.2563,4.167,1.0893,0
Honduras,2001/02,October,3036.252,200,2836.252,36.14
India,2001/02,October,5010.313,1067,3943.313,354
Jamaica,2001/02,October,30.775,10,20.775,16.502
Kenya,2001/02,October,990.531,50,940.531,130.346
"Lao, People's Dem. Rep. of",2001/02,October,258.1452,0,258.1452,0
Liberia,2001/02,October,11.833,5,6.833,0
Mexico,2001/02,October,4438.404,1500,2938.404,354
Nepal,2001/02,October,,,,
Nicaragua,2001/02,October,1078.752,177.323,901.429,82.422
Nigeria,2001/02,October,44.003,40,4.003,0
Panama,2001/02,October,159.939,67,92.939,75
Sierra Leone,2001/02,October,79.2,5,74.2,17
Sri Lanka,2001/02,October,31.531,30,1.531,6
Thailand,2001/02,October,714.5,500,214.5,124
Togo,2001/02,October,112.018,2,110.018,34.166
Trinidad & Tobago,2001/02,October,16.165,14,2.165,0
Uganda,2001/02,October,3157.777,141,3016.777,510
Venezuela,2001/02,October,1264.613,1234.07,30.543,428
Vietnam,2001/02,October,13093.244,460.865,12632.379,500
Yemen,2001/02,October,62.2185,0,62.2185,0
Angola,2002/03,April,56.64,20,36.64,5
Bolivia,2002/03,April,149.168,60,89.168,0
Brazil,2002/03,April,48351.634,13750,34601.634,37303
Burundi,2002/03,April,453.732,2,451.732,16.185
Ecuador,2002/03,April,582.224,150,432.224,35
Indonesia,2002/03,April,6731.376,1779,4952.376,150.15
Madagascar,2002/03,April,445.455,217,228.455,28.795
Malawi,2002/03,April,42.464,1,41.464,3
Papua New Guinea,2002/03,April,1085.147,2,1083.147,81.054
Paraguay,2002/03,April,26.0485,20,6.0485,28
Peru,2002/03,April,3000.32,220,2780.32,205
Rwanda,2002/03,April,319.68,333,319.347,0
Timor-Leste,2002/03,April,36.8093,0,36.8093,0
Zimbabwe,2002/03,April,110.121,4,106.121,10
"Congo, Rep. of",2002/03,July,3,3,0,0
Cuba,2002/03,July,239.105,224,15.105,102.6
Dominican Republic,2002/03,July,455.198,340.198,115,311.909
Haiti,2002/03,July,373.945,340,33.945,13
Philippines,2002/03,July,255.21,829,0,814
Tanzania,2002/03,July,823.609,15,808.609,11.667
Zambia,2002/03,July,118.927,0.6,118.327,0
Benin,2002/03,October,0,0,0,0
Cameroon,2002/03,October,800.795,69,731.795,11
Central African Republic,2002/03,October,92.094,3.787,88.307,7.9
Colombia,2002/03,October,11735.253,1400,10335.253,1741
"Congo, Dem. Rep. of",2002/03,October,337.873,200,137.873,87.96
Costa Rica,2002/03,October,2043.413,375,1668.413,191
Côte d'Ivoire,2002/03,October,3009.64,316.667,2692.973,702.02
El Salvador,2002/03,October,1361.376,153.3,1208.076,185.9
Equatorial Guinea,2002/03,October,0,0,0,0
Ethiopia,2002/03,October,4093.902,2234,1859.902,2067
Gabon,2002/03,October,1.25,0.3,0.95,0
Ghana,2002/03,October,33.6323,1,32.6323,15
Guatemala,2002/03,October,4069.953,300,3769.953,345
Guinea,2002/03,October,328.229,50,278.229,59
Guyana,2002/03,October,5.2013,4.35,0.8513,0
Honduras,2002/03,October,2495.886,200,2295.886,255.343
India,2002/03,October,4587.889,1133,3454.889,653
Jamaica,2002/03,October,37.123,9,28.123,9.484
Kenya,2002/03,October,945.402,50,895.402,277.633
"Lao, People's Dem. Rep. of",2002/03,October,402.0043,158,244.0043,0
Liberia,2002/03,October,12.482,5,7.482,0
Mexico,2002/03,October,4351.426,1500,2851.426,399
Nepal,2002/03,October,,,,
Nicaragua,2002/03,October,1170.017,179.624,990.393,96.71
Nigeria,2002/03,October,49.815,40,9.815,0
Panama,2002/03,October,139.962,67,72.962,90
Sierra Leone,2002/03,October,41.7289,5,36.7289,17
Sri Lanka,2002/03,October,34.3807,30,4.3807,5
Thailand,2002/03,October,731.9,500,231.9,78.7
Togo,2002/03,October,68.205,2,66.205,30.6
Trinidad & Tobago,2002/03,October,16.5524,14,2.5524,0
Uganda,2002/03,October,2890.058,140,2750.058,373.62
Venezuela,2002/03,October,1483.5896,1286.27,197.3196,328
Vietnam,2002/03,October,11573.935,518.842,11055.093,1166.667
Yemen,2002/03,October,56.7446,0,56.7446,0
Angola,2003/04,April,38.013,15,23.013,30
Bolivia,2003/04,April,124.823,60,64.823,0
Brazil,2003/04,April,28873.4093,14200,14673.4093,42292
Burundi,2003/04,April,337.858,2,335.858,36.862
Ecuador,2003/04,April,640.79,150,490.79,32
Indonesia,2003/04,April,6404.076,1833,4571.076,822.068
Madagascar,2003/04,April,434.658,333,101.658,62.963
Malawi,2003/04,April,48.155,1,47.155,1
Papua New Guinea,2003/04,April,1154.944,2,1152.944,87.709
Paraguay,2003/04,April,51.7261,20,31.7261,24
Peru,2003/04,April,2685.986,220,2465.986,147
Rwanda,2003/04,April,265.742,333,265.409,10.925
Timor-Leste,2003/04,April,41.8233,0,41.8233,0
Zimbabwe,2003/04,April,91.649,4,87.649,10
"Congo, Rep. of",2003/04,July,3,3,0,0
Cuba,2003/04,July,223.507,224,0,60
Dominican Republic,2003/04,July,350.673,340,10.673,276.228
Haiti,2003/04,July,373.842,340,33.842,10
Philippines,2003/04,July,292.691,917,0,698
Tanzania,2003/04,July,611.734,27,584.734,766
Zambia,2003/04,July,100.333,0.6,99.733,0
Benin,2003/04,October,0,0,0,0
Cameroon,2003/04,October,900.282,69,831.282,11
Central African Republic,2003/04,October,42.73,3.787,38.943,58.333
Colombia,2003/04,October,11230.157,1400,9830.157,1598
"Congo, Dem. Rep. of",2003/04,October,451.06,200,251.06,31.241
Costa Rica,2003/04,October,1886.432,375,1511.432,183
Côte d'Ivoire,2003/04,October,2981.252,316.667,2664.585,786.607
El Salvador,2003/04,October,1380.097,153.3,1226.797,150.7
Equatorial Guinea,2003/04,October,0,0,0,0
Ethiopia,2003/04,October,4393.717,2353,2040.717,1650
Gabon,2003/04,October,0.3,0.3,0,0
Ghana,2003/04,October,18.1419,1,17.1419,10
Guatemala,2003/04,October,3609.931,300,3309.931,150
Guinea,2003/04,October,365.529,50,315.529,59
Guyana,2003/04,October,5.4252,4.75,0.6752,0
Honduras,2003/04,October,2967.865,200,2767.865,112.513
India,2003/04,October,4508.272,1167,3341.272,635
Jamaica,2003/04,October,37.4471,9,28.4471,12.664
Kenya,2003/04,October,673.422,50,623.422,295.146
"Lao, People's Dem. Rep. of",2003/04,October,361.4625,103,258.4625,0
Liberia,2003/04,October,5.08,5,0.08,0
Mexico,2003/04,October,4201.0193,1500,2701.0193,688
Nepal,2003/04,October,0.9,0,0.9,
Nicaragua,2003/04,October,1509.098,181.915,1327.183,133.637
Nigeria,2003/04,October,46.1504,40,6.1504,0
Panama,2003/04,October,172.062,67,105.062,78.869
Sierra Leone,2003/04,October,35.5163,5,30.5163,17
Sri Lanka,2003/04,October,36.8942,30,6.8942,4
Thailand,2003/04,October,826.567,500,326.567,112
Togo,2003/04,October,143.792,2,141.792,19.1
Trinidad & Tobago,2003/04,October,16.0967,14,2.0967,0
Uganda,2003/04,October,2598.532,131,2467.532,313.73
Venezuela,2003/04,October,1420.5247,1340.68,79.8447,228
Vietnam,2003/04,October,15337.352,606.846,14730.506,666.667
Yemen,2003/04,October,193.3027,146,47.3027,0
Angola,2004/05,April,14.77,15,0,40
Bolivia,2004/05,April,169.8071,60,109.8071,0
Brazil,2004/05,April,39281.1457,14946,24335.1457,32056
Burundi,2004/05,April,437.036,2,435.036,49.029
Ecuador,2004/05,April,780.435,150,630.435,20
Indonesia,2004/05,April,7536.371,2000,5536.371,572.068
Madagascar,2004/05,April,521.66,467,54.66,42.367
Malawi,2004/05,April,20.615,1,19.615,1
Papua New Guinea,2004/05,April,997.514,2,995.514,88.56
Paraguay,2004/05,April,26.2389,20,6.2389,18
Peru,2004/05,April,3425.1559,220,3205.1559,133
Rwanda,2004/05,April,449.733,1,448.733,8.957
Timor-Leste,2004/05,April,16.5932,0,16.5932,0
Zimbabwe,2004/05,April,120.3133,4,116.3133,10
"Congo, Rep. of",2004/05,July,3,3,0,0
Cuba,2004/05,July,179.984,224,0,30
Dominican Republic,2004/05,July,490.679,377.998,112.681,209
Haiti,2004/05,July,365.211,340,25.211,10
Philippines,2004/05,July,354.813,1020,0,554
Tanzania,2004/05,July,763.182,37,726.182,4.167
Zambia,2004/05,July,110.377,0.6,109.777,0
Benin,2004/05,October,0,0,0,0
Cameroon,2004/05,October,727.382,69,658.382,11
Central African Republic,2004/05,October,28.715,3,25.715,29
Colombia,2004/05,October,11572.523,1400,10172.523,1274
"Congo, Dem. Rep. of",2004/05,October,359.754,200,159.754,9.124
Costa Rica,2004/05,October,1875.8399,375,1500.8399,189
Côte d'Ivoire,2004/05,October,2135.5998,316.667,1818.9328,846.867
El Salvador,2004/05,October,1196.873,172.5,1024.373,127.6
Equatorial Guinea,2004/05,October,0,0,0,0
Ethiopia,2004/05,October,5212.951,2478,2734.951,1317
Gabon,2004/05,October,0.3,0.3,0,0
Ghana,2004/05,October,18.1139,1.59,16.5239,8
Guatemala,2004/05,October,3703.026,300,3403.026,153
Guinea,2004/05,October,316.116,50,266.116,29
Guyana,2004/05,October,6.0561,5.5,0.5561,0
Honduras,2004/05,October,2575.144,230,2345.144,86.618
India,2004/05,October,4592.0102,1250,3342.0102,663
Jamaica,2004/05,October,21.3066,9,12.3066,14.48
Kenya,2004/05,October,735.583,50,685.583,98.163
"Lao, People's Dem. Rep. of",2004/05,October,379.4417,135,244.4417,0
Liberia,2004/05,October,5.78,5,0.78,0
Mexico,2004/05,October,3867.3474,1500,2367.3474,966
Nepal,2004/05,October,0.95,0,0.95,
Nicaragua,2004/05,October,1068.077,184.278,883.799,219.456
Nigeria,2004/05,October,45.1379,40,5.1379,0
Panama,2004/05,October,90.3892,67,23.3892,79
Sierra Leone,2004/05,October,14.5255,5,9.5255,17
Sri Lanka,2004/05,October,31.6437,30,1.6437,3
Thailand,2004/05,October,884.383,500,384.383,89.967
Togo,2004/05,October,165.522,2,163.522,9.383
Trinidad & Tobago,2004/05,October,15.1235,14,1.1235,0
Uganda,2004/05,October,2612.619,140,2472.619,258.2
Venezuela,2004/05,October,1326.5336,1397.39,0,128
Vietnam,2004/05,October,14370.453,696.356,13674.097,900
Yemen,2004/05,October,205.5589,136,69.5589,0
Angola,2005/06,April,24.965,15,9.965,35
Bolivia,2005/06,April,128.9692,60,68.9692,0
Brazil,2005/06,April,32932.9797,15538,17394.9797,28923
Burundi,2005/06,April,103.315,1.906,101.409,7.046
Ecuador,2005/06,April,935.3007,150,785.3007,47
Indonesia,2005/06,April,9158.9594,2500,6658.9594,286
Madagascar,2005/06,April,599.149,467,132.149,11.583
Malawi,2005/06,April,24.416,1,23.416,1
Papua New Guinea,2005/06,April,1268.1328,2,1266.1328,73.387
Paraguay,2005/06,April,45.2369,20,25.2369,14
Peru,2005/06,April,2488.8349,220,2268.8349,33
Rwanda,2005/06,April,337.0107,1,336.0107,0
Timor-Leste,2005/06,April,23.5228,0,23.5228,0
Zimbabwe,2005/06,April,65.9299,4,61.9299,10
"Congo, Rep. of",2005/06,July,3,3,0,0
Cuba,2005/06,July,99.5833,224,0,15
Dominican Republic,2005/06,July,310.0469,377.998,0,280.84
Haiti,2005/06,July,356.0064,340,16.0064,8
Philippines,2005/06,July,432.3372,1040,0,314
Tanzania,2005/06,July,804.4066,47,757.4066,4
Zambia,2005/06,July,102.936,0.6,102.336,0
Benin,2005/06,October,0,0,0,0
Cameroon,2005/06,October,869.7157,69,800.7157,11
Central African Republic,2005/06,October,23.1639,3,20.1639,13
Colombia,2005/06,October,12564.2337,1400,11164.2337,442
"Congo, Dem. Rep. of",2005/06,October,336.198,200,136.198,0
Costa Rica,2005/06,October,1652.5288,375,1277.5288,180
Côte d'Ivoire,2005/06,October,2099.0447,316.667,1782.3777,741.072
El Salvador,2005/06,October,1318.587,224.1,1094.487,129
Equatorial Guinea,2005/06,October,0,0,0,0
Ethiopia,2005/06,October,4779.486,2609,2170.486,1432
Gabon,2005/06,October,691,0.3,391,0
Ghana,2005/06,October,12.3749,1.59,10.7849,5
Guatemala,2005/06,October,3675.5298,300,3375.5298,99.667
Guinea,2005/06,October,524.884,50,474.884,29
Guyana,2005/06,October,7.0144,5.6,1.4144,0
Honduras,2005/06,October,3204.361,230,2974.361,36.529
India,2005/06,October,4567.2898,1337,3230.2898,1295
Jamaica,2005/06,October,34.2777,9,25.2777,5.829
Kenya,2005/06,October,660.135,50,610.135,125
"Lao, People's Dem. Rep. of",2005/06,October,279.646,140,139.646,0
Liberia,2005/06,October,5.361,5,361,0
Mexico,2005/06,October,4224.6637,1725,2499.6637,1426
Nepal,2005/06,October,1.3,0,1.3,
Nicaragua,2005/06,October,1431.8115,186.719,1245.0925,144.142
Nigeria,2005/06,October,68.5718,40,28.5718,0
Panama,2005/06,October,176.3307,67,109.3307,21
Sierra Leone,2005/06,October,59.9662,5,54.9662,10
Sri Lanka,2005/06,October,34.9432,30,4.9432,2
Thailand,2005/06,October,1063.9651,500,563.9651,132.25
Togo,2005/06,October,140.0759,2,138.0759,23.317
Trinidad & Tobago,2005/06,October,14.8624,14,0.8624,0
Uganda,2005/06,October,2175.201,150,2025.201,242
Venezuela,2005/06,October,1506.3009,1456.5,49.8009,28
Vietnam,2005/06,October,13841.8363,800,13041.8363,580
Yemen,2005/06,October,203.1808,138,65.1808,0
Angola,2006/07,April,35.095,30,5.095,40
Bolivia,2006/07,April,164.4297,60,104.4297,0
Brazil,2006/07,April,42986.9148,16331,26655.9148,21240
Burundi,2006/07,April,498.5,1.56,496.94,17.291
Ecuador,2006/07,April,1034.5199,150,884.5199,16
Indonesia,2006/07,April,7482.6737,2833,4649.6737,150
Madagascar,2006/07,April,586.51,467,119.51,20.25
Malawi,2006/07,April,16.663,1,15.663,3
Papua New Guinea,2006/07,April,807.2202,2,805.2202,86.109
Paraguay,2006/07,April,25.7472,20,5.7472,16
Peru,2006/07,April,4319.0586,220,4099.0586,30
Rwanda,2006/07,April,351.013,1,350.013,60
Timor-Leste,2006/07,April,46.2077,0,46.2077,0
Zimbabwe,2006/07,April,45.149,4,41.149,10
"Congo, Rep. of",2006/07,July,3,3,0,0
Cuba,2006/07,July,104.85,224,0,18
Dominican Republic,2006/07,July,386.6671,377.998,8.6691,120
Haiti,2006/07,July,362.112,340,22.112,0
Philippines,2006/07,July,441.1089,1060,0,150
Tanzania,2006/07,July,821.807,47,774.807,7.333
Zambia,2006/07,July,56.0696,0.6,55.4696,0
Benin,2006/07,October,0,0,0,0
Cameroon,2006/07,October,818.1664,69,749.1664,33
Central African Republic,2006/07,October,113.5037,3,110.5037,13
Colombia,2006/07,October,11758.6936,1194.633,10564.0606,855
"Congo, Dem. Rep. of",2006/07,October,377.5227,200,177.5227,0
Costa Rica,2006/07,October,1706.0731,375,1331.0731,140
Côte d'Ivoire,2006/07,October,2847.9404,316.667,2531.2734,715.64
El Salvador,2006/07,October,1233.661,253.8,979.861,110.9
Equatorial Guinea,2006/07,October,0,0,0,0
Ethiopia,2006/07,October,5550.74,2748,2802.74,900
Gabon,2006/07,October,1.403,0.3,1.103,0
Ghana,2006/07,October,20.2111,1,19.2111,5
Guatemala,2006/07,October,3950.3303,300,3650.3303,127
Guinea,2006/07,October,472.9477,50,422.9477,8
Guyana,2006/07,October,7.5796,5.717,1.8626,0
Honduras,2006/07,October,3461.2816,230,3231.2816,82.33
India,2006/07,October,4799.7424,1416.669,3383.0734,1165
Jamaica,2006/07,October,40.1196,9,31.1196,10.561
Kenya,2006/07,October,826.08,50,776.08,115
"Lao, People's Dem. Rep. of",2006/07,October,391.0986,140,251.0986,0
Liberia,2006/07,October,6.7276,5,1.7276,0
Mexico,2006/07,October,4200.3381,2000,2200.3381,1418
Nepal,2006/07,October,2.25,0,2.25,
Nicaragua,2006/07,October,1427.9262,189.185,1238.7412,16.208
Nigeria,2006/07,October,50.7351,40,10.7351,0
Panama,2006/07,October,173.1015,67,106.1015,21
Sierra Leone,2006/07,October,31.472,5,26.472,10
Sri Lanka,2006/07,October,32.875,30,2.875,1
Thailand,2006/07,October,822.4689,500,322.4689,73
Togo,2006/07,October,133.95,2,131.95,35
Trinidad & Tobago,2006/07,October,11.6981,11,0.6981,0
Uganda,2006/07,October,2894.16,175,2719.16,265.227
Venezuela,2006/07,October,1570.8961,1518.11,52.7861,30
Vietnam,2006/07,October,19339.7501,917,18422.7501,500
Yemen,2006/07,October,207.234,138,69.234,0
Angola,2007/08,April,35.631,30,5.631,40
Bolivia,2007/08,April,132.5292,60,72.5292,0
Brazil,2007/08,April,38971.7101,17110,21861.7101,19410.181
Burundi,2007/08,April,132.856,1.357,131.499,150.497
Ecuador,2007/08,April,950.4028,150,800.4028,7.5
Indonesia,2007/08,April,7776.5557,3333,4443.5557,30
Madagascar,2007/08,April,614.1661,467,147.1661,8.333
Malawi,2007/08,April,18.812,1,17.812,2
Papua New Guinea,2007/08,April,967.7113,2,965.7113,80.127
Paraguay,2007/08,April,38.6339,20,18.6339,6
Peru,2007/08,April,3062.9307,220,2842.9307,16
Rwanda,2007/08,April,224.0446,1,223.0446,17
Timor-Leste,2007/08,April,36.3032,0,36.3032,0
Zimbabwe,2007/08,April,31.2441,4,27.2441,5
"Congo, Rep. of",2007/08,July,3,3,0,0
Cuba,2007/08,July,109.8567,224,0,22
Dominican Republic,2007/08,July,464.9084,378,86.9084,45
Haiti,2007/08,July,359.4114,340,19.4114,0
Philippines,2007/08,July,445.6113,1060,0,50
Tanzania,2007/08,July,809.7958,47,762.7958,18.383
Zambia,2007/08,July,61.4737,1,60.4737,0
Benin,2007/08,October,0,0,0,0
Cameroon,2007/08,October,795.3046,69,726.3046,40.116
Central African Republic,2007/08,October,43.467,3.333,40.134,5
Colombia,2007/08,October,12515.4534,1280.923,11234.5304,242.514
"Congo, Dem. Rep. of",2007/08,October,415.9287,200,215.9287,0
Costa Rica,2007/08,October,1797.1373,375,1422.1373,100
Côte d'Ivoire,2007/08,October,1338.1445,317,1021.1445,1228.586
El Salvador,2007/08,October,1504.9911,250.5,1254.4911,54
Equatorial Guinea,2007/08,October,0,0,0,0
Ethiopia,2007/08,October,5966.6796,2894,3072.6796,933
Gabon,2007/08,October,721,0.3,421,0
Ghana,2007/08,October,34.6644,2,32.6644,3
Guatemala,2007/08,October,4099.6768,300,3799.6768,30
Guinea,2007/08,October,322.6894,50,272.6894,4
Guyana,2007/08,October,8.6174,7,1.6174,0
Honduras,2007/08,October,3639.7929,245,3394.7929,98.14
India,2007/08,October,4366.6594,1500,2866.6594,1155
Jamaica,2007/08,October,20.1766,9,11.1766,19.746
Kenya,2007/08,October,652.105,50,602.105,100
"Lao, People's Dem. Rep. of",2007/08,October,393.123,140,253.123,0
Liberia,2007/08,October,6.8511,5,1.8511,0
Mexico,2007/08,October,4150.3183,2200,1950.3183,725
Nepal,2007/08,October,1.2574,0,1.2574,
Nicaragua,2007/08,October,1905.6714,191.645,1714.0264,87.349
Nigeria,2007/08,October,42.1658,40,2.1658,0
Panama,2007/08,October,176.0553,67,109.0553,15
Sierra Leone,2007/08,October,40.0011,5,35.0011,2
Sri Lanka,2007/08,October,33.4906,30,3.4906,0
Thailand,2007/08,October,650.4208,550,100.4208,11
Togo,2007/08,October,125.131,2,123.131,20
Trinidad & Tobago,2007/08,October,12.1349,11,1.1349,0
Uganda,2007/08,October,3489.648,180.25,3309.398,280.151
Venezuela,2007/08,October,1520.4505,1582.33,0,15
Vietnam,2007/08,October,16405.0988,938,15467.0988,833
Yemen,2007/08,October,197.9537,130,67.9537,0
Angola,2008/09,April,37.61,30,7.61,40
Bolivia,2008/09,April,135.4186,60,75.4186,0
Brazil,2008/09,April,50490.0837,17660,32830.0837,13227.434
Burundi,2008/09,April,411.7822,1.435,410.3472,5.15
Ecuador,2008/09,April,770.6473,150,620.6473,6.2
Indonesia,2008/09,April,9612.3466,3333,6279.3466,56
Madagascar,2008/09,April,727.6884,467,260.6884,0
Malawi,2008/09,April,20.753,1,19.753,0
Papua New Guinea,2008/09,April,1027.6529,2,1025.6529,76
Paraguay,2008/09,April,20.0154,20,0.0154,0
Peru,2008/09,April,3872.262,250,3622.262,201
Rwanda,2008/09,April,368.7282,1,367.7282,17
Timor-Leste,2008/09,April,47.6918,0,47.6918,0
Zimbabwe,2008/09,April,24.2492,4,20.2492,0
"Congo, Rep. of",2008/09,July,3,3,0,0
Cuba,2008/09,July,133.4523,220,0,12
Dominican Republic,2008/09,July,645.0295,378,267.0295,52
Haiti,2008/09,July,358.6822,340,18.6822,0
Philippines,2008/09,July,586.8337,1720,0,0
Tanzania,2008/09,July,1186.2823,47,1139.2823,13.2166
Zambia,2008/09,July,34.6967,1,33.6967,0
Benin,2008/09,October,0,0,0,0
Cameroon,2008/09,October,724.9004,69,655.9004,9
